X,Y,FID,Name
-9.949723742816458,53.554257450863354,103,The Ellis Tate Centre
-8.434252821812075,53.118995838677577,104,Curra West Golf Club
-8.570715273755047,53.372092751346642,105,Gurteen Community Pitch
-9.615855816007327,53.380692935614583,106,Plearaca Conamara Teo
-8.416054428565152,53.148071901474566,107,Duniry Field Committee
-8.557772347927632,53.60601944977244,108,St. Bridgets Town Hall Theatre
-8.55229257891988,53.202349567374284,109,St. Brendans Hurling Club
-8.74576984338637,53.616946839840629,110,Dunmore Town hall
-8.702414156174578,53.373879963879062,111,Monivea Rugby club
-8.401007072230682,53.4993543487059,112,Killyn Sportsfield
-8.850833063955884,53.514838106772665,113,Tuam Town Hall
-8.40982250146331,53.270642951936075,114,Cappataggle Community Sportsfield
-8.322120301051692,53.529258139136871,115,Ballygar GAA Pitch
-8.84012248938873,53.510761813559839,116,Park Mor Estate Playground
-8.788854870944109,53.522213763458865,117,Islamic Cultural Centre of Tuam
-8.952786107033139,53.136628831359126,118,Kinvara GAA
-8.916959593587057,53.105624246739417,119,Kinvara United FC
-8.742002756746496,53.619324796226969,120,Enterprise Dunmore Society
-8.557364479237625,53.249463922937714,121,Ballaun Community Pitch
-8.215863288649953,53.089098147568826,122,Portumna Soccer Pitch
-8.556747229444724,53.606229813534675,123,Glenamaddy Community Centre
-8.474127931069617,53.493128485969521,124,Galway Teleworking Co-op
-9.161942196298501,53.267564233298309,125,Bearna Comharchumann Teo
-8.813351500373152,53.060882151455189,126,St. Colemans Park
-8.943044973409593,53.344639542561211,127,Cois Chlar Community Market Group
-9.159537006941427,53.25346815470148,128,Bearna Tennis Courts
-8.474033790653685,53.174556435335788,129,Ramblers FC
-8.567792968219042,53.198475088899642,130,Loughrea Family Resource Centre
-9.65677066976609,53.28844524495436,131,Coiste Pairc Lettermore
-8.825054506772469,53.061223988765292,132,Gort Hurling Club
-8.6362971003478,53.275410360972053,133,Kiltullagh Community Hall
-8.504949607729221,53.473132361574109,134,Mountbellew Community Playground
-8.173614411293114,53.236899090983677,135,Lawerencetown Community Enterprise Company
-8.249617747649118,53.102243508935892,136,Old Thort Golf Club
-8.33234141509077,53.395578487527814,137,Ahasgragh Soccer Pitch
-8.223512948808267,53.090315276810081,138,The Oaks Country Club
-9.064984429455,53.386519183780784,139,Gort Scully Pitch (Corrib Celtic)
-8.566186224757088,53.198069357145364,140,Loughrea Boxing Club
-9.698570751480196,53.594982990335744,141,Leenane Community Centre
-9.741115649858076,53.489627563258949,142,Galway Outdoor Adventure Centre
-8.218275848653454,53.087934327580243,143,Portumna Rugby Club
-9.564120582783984,53.510284367719329,144,Coiste Forbartha an Mhama
-8.216029759774125,53.08954716640298,145,Portumna GAA Club
-8.457723425383858,53.223169249156896,146,Kilreekill Community Pitch
-9.323441167113772,53.427963581019981,147,Clann Resource Centre Oughterard
-8.254812279986092,53.08672934606529,148,Portumna Golf Club
-8.354488725036267,53.132776959364449,149,Pallas Karting
-9.525324295771751,53.063070299996255,150,Halla Pobail Inis Oirr
